"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.248,no data,no data,no data,no data,no data,no data,no data
Bangladesh,24.775,26.355,24.678,23.904,26.817,28.819,29.639,32.449,34.914,38.07,41.068,42.488,43.292,43.684,46.438,51.842,55.445,57.599,59.879,61.526,61.687,62.537,65.036,71.755,77.152,79.53,86.028,95.374,109.765,122.76,138.094,154.097,159.749,179.676,207.102,233.687,265.236,293.755,321.379,351.238,373.902,416.265,460.201,451.534,451.096,467.218,513.121,557.136,606.807,672.75,740.875
Barbados,1.048,1.154,1.205,1.28,1.395,1.46,1.603,1.765,1.877,2.077,2.084,2.092,2.015,2.136,2.227,2.348,2.515,2.667,3.057,3.21,3.312,3.306,3.364,3.479,3.754,4.213,4.702,5.273,5.401,5.064,5.138,5.302,5.233,5.338,5.366,5.288,5.331,5.517,5.63,5.788,5.168,5.275,6.257,6.721,7.167,7.552,7.942,8.341,8.755,9.19,9.645
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.8,11.408,15.687,10.532,14.494,14.091,15.215,12.133,10.785,12.778,15.092,18.42,23.928,31.239,38.219,46.815,62.798,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,64.414,61.312,68.207,73.735,71.792,71.18,71.561,74.691,77.757,81.144,84.515,87.879
Belgium,123.479,102.245,89.959,85.037,81.237,84.468,117.063,145.412,158.098,159.817,200.15,205.37,228.733,218.721,238.623,288.302,279.292,253.022,258.876,258.503,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.271,484.488,481.949,527.106,498.731,524.106,538.127,461.091,474.141,500.733,542.885,536.787,529.269,598.892,593.906,644.968,664.965,684.864,706.834,725.385,746.66,768.493,791.414
Belize,0.229,0.238,0.238,0.251,0.28,0.278,0.303,0.354,0.418,0.482,0.547,0.597,0.696,0.753,0.772,0.819,0.851,0.873,0.929,1,1.139,1.173,1.245,1.309,1.401,1.475,1.591,1.707,1.739,1.688,1.746,1.827,1.909,2.033,2.138,2.193,2.24,2.266,2.293,2.388,2.043,2.421,2.847,3.067,3.427,3.611,3.755,3.893,4.029,4.165,4.302
Benin,2.302,1.557,1.542,1.365,1.456,1.58,2.036,2.43,2.552,2.37,2.89,2.954,3.284,3.199,2.227,2.993,3.251,3.124,3.362,3.681,3.522,3.666,4.191,5.348,6.187,6.571,7.034,8.17,9.787,9.728,9.543,10.691,11.148,12.518,13.288,11.389,11.818,12.697,14.257,14.392,15.674,17.699,17.439,19.679,21.249,22.236,24.067,26.048,28.152,30.451,32.917
Bhutan,0.132,0.143,0.15,0.162,0.168,0.174,0.197,0.238,0.273,0.272,0.293,0.254,0.248,0.26,0.263,0.308,0.324,0.362,0.398,0.418,0.454,0.474,0.517,0.616,0.7,0.818,0.876,1.071,1.353,1.274,1.528,1.88,1.967,1.999,1.963,2.159,2.252,2.462,2.651,2.618,2.586,2.623,2.869,2.923,3.092,3.422,3.802,4.157,4.563,5.071,5.543
Bolivia,3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.335,5.635,5.724,5.974,6.707,7.385,7.919,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,40.581,41.193,36.897,40.701,44.329,45.464,48.404,56.339,65.851,no data,no data,no data,no data
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.584,4.578,5.281,5.766,5.568,5.801,6.728,8.499,10.157,11.223,12.865,15.779,19.113,17.614,17.176,18.644,17.227,18.179,18.559,16.404,17.117,18.326,20.484,20.483,20.226,23.673,24.535,27.592,28.795,28.807,30.214,31.73,33.328,35.019,36.788
Botswana,1.174,1.037,1.094,1.208,1.2,1.117,1.515,2.374,3.082,3.441,3.799,3.802,3.928,3.957,4.258,4.805,4.926,5.011,4.808,5.413,5.682,5.46,5.395,7.469,8.819,9.833,9.919,10.566,10.731,10.118,12.637,15.111,13.907,14.272,15.47,13.531,15.083,16.105,17.032,16.696,14.93,18.75,20.321,19.411,19.356,19.4,20.951,22.347,24.148,26.371,28.591
